title,description,views,likes,dislikes,comments,tags
Exercise and nutrition - Q&A with Professor Andy Jones,"Professor Andy Jones from the University of Exeter speaks about the benefits of exercise and nutrition, and how to keep healthy during lockdown.

More web chats will follow in the coming weeks. Please let us know any requests!",212,6,0,,"University of exeter,exeter uni,exeter university,undergraduate,postgraduate,exeter alumni,sport science,running,lockdown,exercise,nutrition"
Master of Public Health (MPH),G.J. Melendez-Torres talks about our Master of Public Health (MPH) recruiting now for 2020.,53,0,0,,"University of exeter,exeter uni,exeter university,student life,postgraduate,degree,studying,MPH,public health,masters public health,master of public health,exeter public health,masters,Msc Public Health"
University of Exeter Campus Tour - St Luke's,"If you can't get to us, then we'll come to you. Take a look around our St Luke’s Campus and see what it's like.",466,9,1,,"University of exeter,exeter uni,exeter university,student life,undergraduate,postgraduate,degree,studying,university life"
University of Exeter Campus Tour - Streatham,"If you can't get to us, then we'll come to you. Take a look around our Streatham Campus and see what it's like.",1002,38,0,,"University of exeter,exeter uni,exeter university,student life,undergraduate,postgraduate,degree,studying,university life"
Accommodation Talk - Penryn Campus in Cornwall,Our Penryn Campus Accommodation Manager tells us about your options for halls on or near campus.,199,4,0,,"University of exeter,exeter uni,exeter university,student life,undergraduate,postgraduate,degree,studying,university life,accommodation,open day"
"My professional placement at GSK - Ben, Biological Sciences student","Ben talks about his professional placement year at GlaxoSmithKline as part of his BSc in Biological Sciences, and the doors it has opened up for him. Find out more about Biological Sciences: http://www.exeter.ac.uk/undergraduate/courses/biosciences/biosci/",71,2,0,,"University of exeter,exeter uni,exeter university,student life,undergraduate,postgraduate,degree,studying,university life,biology,science,year in industry,careers,industry,GSK,work experience,bioscience"
"Mind Over Natter: Minds, Bodies, Stress and Washing Machines","Jonny Wilkins from Talkworks leading a Mind Over Natter session on the relationship between bodies, stress and washing machines on Wednesday 11 March 2020.",21,0,0,,"University of exeter,exeter uni,exeter university,student life,undergraduate,postgraduate,degree,studying,university life,Talkworks,Stress,Minds,Wellbeing"
Archaeology - example of a fieldwork dig,"Time lapse footage of an Aracheological field work dig at Ipplepen, a site of Roman significance",39,0,0,,"University of exeter,exeter uni,exeter university,student life,undergraduate,postgraduate,degree,studying,university life"
Archaeology - example field work dig (clip),"Time lapse footage from an Archaeology field work dig at Ipplepen, a site of Roman significance.",32,0,0,,"University of exeter,exeter uni,exeter university,student life,undergraduate,postgraduate,degree,studying,university life"
Mind Over Natter: Mindful Meditation,An introduction to Mindful Meditation led by Buddhist Chaplain John Danvers on 4 March 2020 as part of Mind Over Natter.,35,1,1,,"University of exeter,exeter uni,exeter university,student life,undergraduate,postgraduate,degree,studying,university life,Meditation,Mindfulness,Wellbeing"
Coronavirus (COVID-19): How to reduce your risk,"University of Exeter expert in Communicable Disease Control and Infectious disease management, Dr Bharat Pankhania discusses how we can reduce the risk of catching coronavirus (COVID-19).",638,7,0,,"University of exeter,exeter uni,exeter university,coronavirus,covid-19,handwashing"
Type 1 diabetes is two distinct conditions,"New research finds that type 1 diabetes is not one but two distinct conditions, defined by diagnosis age",5711,47,0,,"University of exeter,exeter uni,exeter university,undergraduate"
Creativity Business Hack clip 2,"MA Creativity: Innovation and Business Strategy 
During their course, students took part in an intensive Creativity Business Hack, offering creative solutions to real-life business challenges.",37,0,0,,"University of exeter,exeter uni,exeter university,student life,undergraduate,postgraduate,degree,studying,university life"
Creativity Business Hack clip 1,"MA Creativity: Innovation and Business Strategy
During their course, students took part in an intensive Creativity Business Hack, offering creative solutions to real-life business challenges.",121859,0,0,,"University of exeter,exeter uni,exeter university,student life,undergraduate,postgraduate,degree,studying,university life"
Creativity Business Hack - Presentations clip,"MA Creativity: Innovation and Business - 
During their course, students took part in an intensive Creativity Business Hack, offering creative solutions to real-life business challenges.",36,0,0,,"University of exeter,exeter uni,exeter university,student life,undergraduate,postgraduate,degree,studying,university life"
Creativity Business Hack - string mapping gamification clip,"MA Creativity: Innovation and Business - 
During their course, students took part in an intensive Creativity Business Hack, offering creative solutions to real-life business challenges.",36,1,0,,"University of exeter,exeter uni,exeter university,student life,undergraduate,postgraduate,degree,studying,university life"
Creativity Business Hack - Business visit clip,"MA Creativity: Innovation and Business - 
During their course, students took part in an intensive Creativity Business Hack, offering creative solutions to real-life business challenges.",28,0,0,,"University of exeter,exeter uni,exeter university,student life,undergraduate,postgraduate,degree,studying,university life"
ExeterMarine: A Community (Ep.3),"ExeterMarine: A Community (Ep.3)

The final installment in our ExeterMarine short film series! Over the course of the first two films we introduced you to a handful of our excellent academics and explored what makes #ExeterMarine at the @University of Exeter a great place to study in the marine sector.  In this final installment, our friendly faces share why they love working together!",112,1,0,,"University of exeter,exeter uni,exeter university,student life,undergraduate,postgraduate,degree,studying,university life"
Which women inspire our students this International Women's Day?,Who’s your inspiration? It’s International Women’s Day and student Chloe Larby’s been finding out about some of the women who inspire students and staff at the University of Exeter https://we.tl/t-CcD0YHPx8a,115,1,0,,"University of exeter,exeter uni,exeter university,student life,undergraduate,postgraduate,degree,studying,university life"
